,conservation_practice,concern,value
102,Fence,Seasonal High Water Table ,0
103,Streambank and Shoreline Protection,Seasonal High Water Table ,0
104,Heavy Use Area Protection,Seasonal High Water Table ,0
105,Prescribed Grazing (IRA),Seasonal High Water Table ,0
106,Cover Crop (IRA),Seasonal High Water Table ,1
107,Tree/Shrub Establishment (IRA),Seasonal High Water Table ,2
108,Brush Management,Seasonal High Water Table ,0
109,Dike and Levee,Seasonal High Water Table ,-1
110,Herbaceous Weed Treatment,Seasonal High Water Table ,0
111,Residue and Tillage Mgmt (No Till) (IRA),Seasonal High Water Table ,0
112,Residue and Tillage Mgmt (Reduced Till) (IRA),Seasonal High Water Table ,0
113,Conservation Crop Rotation (IRA),Seasonal High Water Table ,0
114,Wildlife Habitat Planting (IRA),Seasonal High Water Table ,0
115,Pasture and Hay Planting,Seasonal High Water Table ,0
116,Critical Area Planting (IRA),Seasonal High Water Table ,0
117,Range planting (IRA),Seasonal High Water Table ,0
118,Channel Bed Stabilization,Seasonal High Water Table ,0
119,Conservation Cover (IRA),Seasonal High Water Table ,0
120,Access Control,Seasonal High Water Table ,2
121,Wetland Restoration (IRA),Seasonal High Water Table ,0
122,Watering Facility,Seasonal High Water Table ,0
123,Riparian Forest Buffer (IRA),Seasonal High Water Table ,2
124,Pest Management Conservation System,Seasonal High Water Table ,0
125,Structures for Wildlife,Seasonal High Water Table ,0
126,Structure for Water Control,Seasonal High Water Table ,0
127,Stream Habitat Improvement and Management,Seasonal High Water Table ,0
128,Grade Stabilization Structure,Seasonal High Water Table ,0
129,Riparian Herbaceous Cover (IRA),Seasonal High Water Table ,2
130,Aquatic Organism Passage,Seasonal High Water Table ,0
131,Wetland Creation,Seasonal High Water Table ,-1
132,Wetland Enhancement,Seasonal High Water Table ,0
133,Wetland Wildlife Habitat Management,Seasonal High Water Table ,0
134,Shallow Water Development and Management,Seasonal High Water Table ,0
135,Restoration of Rare and Declining Habitats,Seasonal High Water Table ,0
136,Fence,Elevated water temperature,0
137,Streambank and Shoreline Protection,Elevated water temperature,1
138,Heavy Use Area Protection,Elevated water temperature,0
139,Prescribed Grazing (IRA),Elevated water temperature,1
140,Cover Crop (IRA),Elevated water temperature,0
141,Tree/Shrub Establishment (IRA),Elevated water temperature,4
142,Brush Management,Elevated water temperature,0
143,Dike and Levee,Elevated water temperature,0
144,Herbaceous Weed Treatment,Elevated water temperature,0
145,Residue and Tillage Mgmt (No Till) (IRA),Elevated water temperature,0
146,Residue and Tillage Mgmt (Reduced Till) (IRA),Elevated water temperature,0
147,Conservation Crop Rotation (IRA),Elevated water temperature,0
148,Wildlife Habitat Planting (IRA),Elevated water temperature,4
149,Pasture and Hay Planting,Elevated water temperature,0
150,Critical Area Planting (IRA),Elevated water temperature,0
151,Range planting (IRA),Elevated water temperature,1
152,Channel Bed Stabilization,Elevated water temperature,1
153,Conservation Cover (IRA),Elevated water temperature,0
154,Access Control,Elevated water temperature,3
155,Wetland Restoration (IRA),Elevated water temperature,0
156,Watering Facility,Elevated water temperature,1
157,Riparian Forest Buffer (IRA),Elevated water temperature,5
158,Pest Management Conservation System,Elevated water temperature,0
159,Structures for Wildlife,Elevated water temperature,0
160,Structure for Water Control,Elevated water temperature,1
161,Stream Habitat Improvement and Management,Elevated water temperature,4
162,Grade Stabilization Structure,Elevated water temperature,0
163,Riparian Herbaceous Cover (IRA),Elevated water temperature,2
164,Aquatic Organism Passage,Elevated water temperature,3
165,Wetland Creation,Elevated water temperature,0
166,Wetland Enhancement,Elevated water temperature,0
167,Wetland Wildlife Habitat Management,Elevated water temperature,0
168,Shallow Water Development and Management,Elevated water temperature,0
169,Restoration of Rare and Declining Habitats,Elevated water temperature,2
170,Fence,Plant Pest Pressure ,0
171,Streambank and Shoreline Protection,Plant Pest Pressure ,4
172,Heavy Use Area Protection,Plant Pest Pressure ,0
173,Prescribed Grazing (IRA),Plant Pest Pressure ,2
174,Cover Crop (IRA),Plant Pest Pressure ,4
175,Tree/Shrub Establishment (IRA),Plant Pest Pressure ,5
176,Brush Management,Plant Pest Pressure ,5
177,Dike and Levee,Plant Pest Pressure ,0
178,Herbaceous Weed Treatment,Plant Pest Pressure ,5
179,Residue and Tillage Mgmt (No Till) (IRA),Plant Pest Pressure ,0
180,Residue and Tillage Mgmt (Reduced Till) (IRA),Plant Pest Pressure ,0
181,Conservation Crop Rotation (IRA),Plant Pest Pressure ,3
182,Wildlife Habitat Planting (IRA),Plant Pest Pressure ,0
183,Pasture and Hay Planting,Plant Pest Pressure ,0
184,Critical Area Planting (IRA),Plant Pest Pressure ,4
185,Range planting (IRA),Plant Pest Pressure ,4
186,Channel Bed Stabilization,Plant Pest Pressure ,4
187,Conservation Cover (IRA),Plant Pest Pressure ,4
188,Access Control,Plant Pest Pressure ,5
189,Wetland Restoration (IRA),Plant Pest Pressure ,4
190,Watering Facility,Plant Pest Pressure ,0
191,Riparian Forest Buffer (IRA),Plant Pest Pressure ,3
192,Pest Management Conservation System,Plant Pest Pressure ,4
193,Structures for Wildlife,Plant Pest Pressure ,0
194,Structure for Water Control,Plant Pest Pressure ,0
195,Stream Habitat Improvement and Management,Plant Pest Pressure ,4
196,Grade Stabilization Structure,Plant Pest Pressure ,0
197,Riparian Herbaceous Cover (IRA),Plant Pest Pressure ,4
198,Aquatic Organism Passage,Plant Pest Pressure ,0
199,Wetland Creation,Plant Pest Pressure ,4
200,Wetland Enhancement,Plant Pest Pressure ,4
201,Wetland Wildlife Habitat Management,Plant Pest Pressure ,4
202,Shallow Water Development and Management,Plant Pest Pressure ,1
203,Restoration of Rare and Declining Habitats,Plant Pest Pressure ,4
