CP Name,Wildlife/Ecosystem Connectivity ,Aquatic Habitat ,Terrestrial Habitat,Water Quality ,Wetands Conservation,Streambank and Shoreline condition ,Biodiversity ,Riparian Condition,Notes,Network Diagram 
CP #382 | Fence  | (Feet),,x,x,x,nm,,,x, ,https://www.nrcs.usda.gov/sites/default/files/2022-09/Fence_382_NHCP_NED_2021.pdf
CP #512 | Pasture and Hay Planting  | (Acres),,x,x,x,,,nm,,Biodiveristy would increase in treated pastures?,https://www.nrcs.usda.gov/sites/default/files/2022-09/Pasture_and_Hay_Planting_512_Network_Diagram_10_2020.pdf
CP #342 | Critical Area Planting (IRA) | (Acres),nm,nm,x,nm,,,nm, ,"Water quality improvements lead to improved aquatic habitat, planting increases biodiversity, increased connectivity - less habitat fragmentation, biomass holds carbon so increased carbon sequestration",https://www.nrcs.usda.gov/sites/default/files/2022-09/Critical_Area_Planting_342_Network_Diagram.pdf
CP #550 | Range planting (IRA) | (Acres),,,,,,,,,,
CP #442 | Sprinkler system  | (Acres),,,,,,,,,,
CP #584 | Channel Bed Stabilization  | (Feet),nm,x,x,x,x,nm,, ,Climate resilience - flood mitigation. Improved in-stream morphology and bed stabilitzation can provide bank stability - therefore inproved streambank and shoreline condition. Connectivity with floodplain will provide hydrology to floodplain wetlands for storage - wetland conservation and climate resiliency. Connectivity provided in-stream where head-cuts and other grade-control issues are creating natural barriers to wildlife movements. ,https://www.nrcs.usda.gov/sites/default/files/2022-09/Channel_Bed_Stabilization_584_NHCP_NED_2021.pdf
CP #327 | Conservation Cover (IRA) | (Acres),x,x,x,x,,,x,, ,https://www.nrcs.usda.gov/sites/default/files/2022-09/Conservation_Cover_327_Network_Diagram.pdf
CP #472 | Access Control  | (Acres),,x,x,x,,x,,x, ,https://www.nrcs.usda.gov/sites/default/files/2022-08/Access_Control_472_Network_Diagram.pdf
CP #657 | Wetland Restoration (IRA) | (Acres),x,x, ,x,x,,,, ,https://www.nrcs.usda.gov/sites/default/files/2022-10/Wetland_Restoration_657_ND.pdf
CP #614 | Watering Facility  | (Num.),,nm,,x,,x,,nm,Reduced pathogens and sediment to aquatic habitat improves habitat. Riparian condition will improve with less trampling by livestock. ,https://www.nrcs.usda.gov/sites/default/files/2023-08/614_NED_Watering_Facility_2023.pdf
CP #391 | Riparian Forest Buffer (IRA) | (Acres),x,x,x,x,,x,nm,x,Forest products can provide another means for income for farmers. ,https://www.nrcs.usda.gov/sites/default/files/2022-09/Riparian_Forest_Buffer_391_Network_Diagram_10_2020.pdf
CP #590 | Nutrient Management (IRA) | (Acres),,nm,,x,,,,,Reducing the amount of fertilizers applied improves water quality thus aquatic habitat - and reduces fertilizer costs for producers ,*No Network Effects Diagram available for this practice 
CP #595 | Pest Management Conservation System  | (Acres),,nm,,x,,,,,Reducing the amount of pesticides used will result in higher quality aquatic habitat. ,https://www.nrcs.usda.gov/sites/default/files/2022-09/Pest_Management_Conservation_System_595_NHCP_NED_2019.pdf
CP #441 | Micro-irrigation | (Acres),,,,,,,,, ,
CP #649 | Structures for Wildlife  | (Num.),nm,x,x,x,,,nm,,Direct benefits to populations will increase biodiversity. Reduced erosion and sedimentation will improve water quality. Providing nesting areas for water birds and islands for migrating water fowl improves ecosystem connectivity along migration routes. ,https://www.nrcs.usda.gov/sites/default/files/2022-10/Structures_for_Wildlife_649_ND.pdf
CP #578 | Stream Crossing  | (Num.),nm,x,x,x,,x,,x,Ability to distribute grazing pressure will reduce compaction and erosion to soils. Reducing disturbance to Riparian corridors and improving AOP provides ecosystem connectivity in terrestrial and aquatic habitat. ,https://www.nrcs.usda.gov/sites/default/files/2022-10/Structures_for_Wildlife_649_ND.pdf
CP #587 | Structure for Water Control  | (Num.),x,x,,x,nm,, ,,"Combined with associated conservation practices such as wetland ehnancement or AOP, can conserve wetlands, provide wetland habitat, and provide ecosystem connectivity.",https://www.nrcs.usda.gov/sites/default/files/2022-10/Structure_for_Water_Control_587_ND_Oct_2017.pdf
CP #395 | Stream Habitat Improvement and Management  | (Acres),x,x,nm,x,x,x,x,x,Reconnecting floodplains to streams will improve water availability during drought by allowing floodwater storage within floodplain wetlands to be slowly released during drought conditions. Terrestrial habitat will benefit through improvements to riparian habitat and streambank conditions. ,https://www.nrcs.usda.gov/sites/default/files/2022-10/Stream_Habitat_Improvement_And_Management_395_ND_2018.pdf
CP #410 | Grade Stabilization Structure  | (Num.),nm,x,,x,,,,,Providing grade control can also provide access to upstream areas for fish and wildlife previously blocked due to headcutting issues. Water quantity will improve by reducing downcutting - whch effectively lowers the water table. ,https://www.nrcs.usda.gov/sites/default/files/2022-09/Grade_Stabilization_Structure_410_Network_Diagram_10_2020.pdf
CP #554 | Drainage Water Management | (Acres),,,,,,,,,,
CP #390 | Riparian Herbaceous Cover (IRA) | (Acres),x,x,x,x,,x,nm,x,Biodiversity of grassland/herbaceous habitats will improve. ,https://www.nrcs.usda.gov/sites/default/files/2022-11/390-NHCP-NED-Riparain-Herbaceous-Cover-2022.pdf
CP #484 | Mulching (IRA) | (Acres),,,,,,,,,,
CP #396 | Aquatic Organism Passage  | (Miles),x,x,,,,,x,,Opportunities for income from recreational opportunities. Reduced erosion when combined with other practices. ,https://www.nrcs.usda.gov/sites/default/files/2022-11/396-NHCP-NED-Aquatic-Organism-Passage-2022.pdf
CP #386 | Field Border (IRA) | (Acres),x,,,,,,,,,
CP #574 | Spring Development  | (Num.),,,,,,,,,,
CP #658 | Wetland Creation  | (Acres),nm,x,,x,x,,nm,,"Creating wetlands will support increased biodiversity. Connectivity will imcrease between wetlands for wetland-dependent amphibians, reptiles, and migratory birds. Wetlands are carbon sinks. Temporary flood storage provided and downstream flooding risks reduced. Water stored in wetlands provides slow release during drought conditions. ",https://www.nrcs.usda.gov/sites/default/files/2022-10/Wetland_Creation_658_NHCP_NED_2022.pdf
CP #659 | Wetland Enhancement  | (Acres),nm,x,,x,x,,x,,Enhancing weltands provides climate resilience by improving ecosystem functions within degraded wetlands. Connectivity provided between wetlands for wetland fauna and migratory birds. Storage of water provides slow release during drought conditions. flood water storage and flood risk reduction (downstream). ,https://www.nrcs.usda.gov/sites/default/files/2022-11/659-NHCP-NED-Wetland-Enhancement-2022.pdf
CP #644 | Wetland Wildlife Habitat Management  | (Acres),x,x,,x,x,,x,,Managing existing weltands using supplemental conservation practices provides climate resilience by improving ecosystem functions within  wetlands. Connectivity provided between wetlands for wetland fauna and migratory birds. Storage of water provides slow release during drought conditions. flood water storage and flood risk reduction (downstream). ,https://www.nrcs.usda.gov/sites/default/files/2022-11/644-NHCP-NED-Wetland-Wildlife-Habitat-Management-2022.pdf
CP #533 | Pumping Plant  | (Num.),,,,,,,,,Enhancing weltands provides climate resilience by improving ecosystem functions within degraded wetlands. Connectivity provided between wetlands for wetland fauna and migratory birds. Storage of water provides slow release during drought conditions. flood water storage and flood risk reduction (downstream). ,
CP #642 | Water Well  | (Num.),,,,,,,,,Enhancing weltands provides climate resilience by improving ecosystem functions within degraded wetlands. Connectivity provided between wetlands for wetland fauna and migratory birds. Storage of water provides slow release during drought conditions. flood water storage and flood risk reduction (downstream). ,
CP #378 | Pond  | (Num.),,,,,,,,,Enhancing weltands provides climate resilience by improving ecosystem functions within degraded wetlands. Connectivity provided between wetlands for wetland fauna and migratory birds. Storage of water provides slow release during drought conditions. flood water storage and flood risk reduction (downstream). ,
CP #646 | Shallow Water Development and Management  | (Acres),x,x,,x,x,,x,,"Creating shallow water habitat provides temporary flood storage, reducing risk for downstream flooding. Provides habitat for migratory and wetland dependent species. Provides habitat connectivity between wetlands/shallow water habitat. Wetlands. ", https://www.nrcs.usda.gov/sites/default/files/2022-09/Shallow_Water_Development_And_Management_646_ND.pdf
CP #412 | Grassed Waterway (IRA) | (Acres),,,,,,,,,,
CP #643 | Restoration of Rare and Declining Habitats | (Acres),x,x,x,x,x,,x,,"Recreational opportunities for landowner after loss of cropland. Improved connectivity between fragmented habitats. Reduced emissions due to retirement of cropland. IF wetlands restored, water quality and availability will improve. Can include wetlands conservation (when wetlands practices applied). Depending on practices used, can reduce erosion. New habitat will sequester carbon (upland or wetland). ",https://www.nrcs.usda.gov/sites/default/files/2022-09/Restoration_Of_Rare_Or_Declining_Natural_Communities_643_ND.pdf
